Location,State
Albury,NSW
BadgerysCreek,NSW
Cobar,NSW
CoffsHarbour,NSW
Moree,NSW
Newcastle,NSW
NorahHead,NSW
NorfolkIsland,NSW
Penrith,NSW
Richmond,NSW
Sydney,NSW
SydneyAirport,NSW
WaggaWagga,NSW
Williamtown,NSW
Wollongong,NSW
Canberra,ACT
Tuggeranong,ACT
MountGinini,ACT
Ballarat,VIC
Bendigo,VIC
Sale,VIC
MelbourneAirport,VIC
Melbourne,VIC
Mildura,VIC
Nhil,VIC
Portland,VIC
Watsonia,VIC
Dartmoor,VIC
Brisbane,QLD
Cairns,QLD
GoldCoast,QLD
Townsville,QLD
Adelaide,SA
MountGambier,SA
Nuriootpa,SA
Woomera,SA
Albany,WA
Witchcliffe,WA
PearceRAAF,WA
PerthAirport,WA
Perth,WA
SalmonGums,WA
Walpole,WA
Hobart,TAS
Launceston,TAS
AliceSprings,NT
Darwin,NT
Katherine,NT
Uluru,NT
